cliente_id,clinica,regional,perfil,potencial_mensal,data_cadastro
5001,Prime Prime,Sul,Especialista,39457,2024-08-18
5002,Centro Top,Sul,Popular,22011,2023-02-13
5003,Dental Plus,SP Capital,Premium,11286,2023-09-21
5004,Implant Center,Centro-Oeste,Premium,31082,2024-06-17
5005,Centro Top,Sul,Especialista,29363,2024-06-20
5006,Oral Care,SP Capital,Popular,36476,2024-01-01
5007,Prime Top,Norte/Nordeste,Especialista,30128,2023-12-22
5008,Sorriso VIP,Sul,Popular,34397,2024-08-16
5009,Prime VIP,SP Interior,Popular,25423,2023-06-04
5010,Odonto Premium,SP Capital,Popular,23293,2023-10-23
5011,Oral VIP,Sudeste,Especialista,10255,2024-07-31
5012,Odonto VIP,SP Interior,Popular,9123,2023-03-05
5013,Clínica Center,SP Interior,Especialista,23869,2023-04-22
5014,Instituto Top,SP Interior,Premium,8242,2024-10-07
5015,Prime VIP,SP Interior,Premium,30975,2024-06-06
5016,Odonto Center,SP Interior,Especialista,14153,2024-03-18
5017,Oral Top,Centro-Oeste,Popular,38056,2023-09-16
5018,Clínica Especializado,Norte/Nordeste,Popular,15885,2024-01-30
5019,Clínica Especializado,Norte/Nordeste,Popular,8411,2023-04-13
5020,Clínica Prime,Sul,Premium,14049,2023-01-02
5021,Prime Care,Sudeste,Popular,34466,2024-07-27
5022,Dental Avançado,Sudeste,Popular,6647,2023-11-06
5023,Sorriso Plus,Centro-Oeste,Premium,31730,2023-08-01
5024,Implant Premium,Norte/Nordeste,Especialista,17481,2024-05-21
5025,Dental Excelência,Centro-Oeste,Premium,34572,2024-09-05
5026,Prime Top,Centro-Oeste,Premium,30124,2024-09-21
5027,Dental Care,Centro-Oeste,Premium,14500,2024-02-28
5028,Dental Plus,SP Capital,Popular,31201,2024-10-09
5029,Clínica Top,SP Capital,Especialista,17885,2023-01-25
5030,Odonto Top,Centro-Oeste,Especialista,19942,2023-11-07
5031,Instituto Care,SP Interior,Popular,25691,2024-10-14
5032,Prime Excelência,Centro-Oeste,Popular,8774,2023-07-07
5033,Odonto Top,Sul,Premium,16520,2023-06-06
5034,Centro Top,SP Capital,Premium,31624,2023-04-10
5035,Prime Top,Sudeste,Popular,22766,2023-02-06
5036,Master Top,Sudeste,Premium,32890,2024-06-07
5037,Clínica Prime,Centro-Oeste,Especialista,31656,2024-04-18
5038,Master Prime,Norte/Nordeste,Popular,5857,2024-10-15
5039,Master Plus,Sudeste,Especialista,17686,2023-04-25
5040,Instituto Care,Centro-Oeste,Popular,26399,2023-08-31
5041,Oral Top,Norte/Nordeste,Popular,29609,2023-09-30
5042,Sorriso Premium,SP Capital,Popular,23317,2024-01-01
5043,Instituto Especializado,Sudeste,Premium,9238,2024-05-22
5044,Odonto Excelência,Sudeste,Premium,22969,2024-10-16
5045,Clínica Center,SP Capital,Especialista,37689,2024-09-12
5046,Sorriso Plus,SP Interior,Especialista,10711,2023-05-25
5047,Instituto Excelência,Sudeste,Popular,36395,2023-05-16
5048,Oral Prime,Sul,Popular,26881,2024-08-11
5049,Dental VIP,SP Capital,Popular,30045,2023-09-19
5050,Oral Top,Sul,Premium,19193,2024-11-02
5051,Clínica Especializado,Centro-Oeste,Especialista,31281,2024-08-29
5052,Centro Excelência,Norte/Nordeste,Popular,35375,2023-03-23
5053,Dental Avançado,Sudeste,Popular,15633,2024-04-13
5054,Centro Center,SP Interior,Premium,37986,2024-03-14
5055,Clínica Excelência,Sul,Popular,23159,2023-05-28
5056,Clínica Care,Sudeste,Popular,10660,2023-05-23
5057,Centro Premium,Sudeste,Popular,27337,2023-04-18
5058,Prime Plus,Sul,Especialista,28633,2023-09-20
5059,Prime Especializado,Sudeste,Especialista,32865,2024-08-25
5060,Sorriso VIP,SP Interior,Especialista,11437,2023-12-10
5061,Instituto Avançado,Norte/Nordeste,Especialista,20710,2024-10-12
5062,Implant Avançado,Sul,Popular,22705,2024-08-01
5063,Odonto Avançado,Sudeste,Popular,25354,2024-01-05
5064,Dental Prime,SP Capital,Especialista,6540,2024-01-06
5065,Implant Care,SP Capital,Especialista,23335,2023-11-05
5066,Centro Plus,Norte/Nordeste,Premium,9853,2023-10-06
5067,Prime Excelência,Centro-Oeste,Especialista,36262,2024-03-12
5068,Clínica Premium,Norte/Nordeste,Premium,16372,2023-08-10
5069,Clínica Excelência,Centro-Oeste,Premium,8155,2024-06-20
5070,Implant Avançado,SP Interior,Especialista,7615,2023-11-10
5071,Master Avançado,Norte/Nordeste,Especialista,29940,2024-05-18
5072,Instituto Care,Norte/Nordeste,Popular,17643,2023-06-04
5073,Master Care,Sudeste,Premium,26591,2023-12-12
5074,Instituto Center,SP Interior,Premium,16929,2024-10-08
5075,Instituto Premium,Sul,Especialista,9221,2024-08-14
5076,Sorriso Top,Centro-Oeste,Premium,17839,2024-10-20
5077,Sorriso Avançado,Norte/Nordeste,Premium,22736,2024-01-06
5078,Prime Avançado,Centro-Oeste,Premium,28887,2023-02-13
5079,Instituto VIP,SP Interior,Premium,38129,2023-08-13
5080,Odonto Premium,SP Capital,Popular,9236,2024-03-21
5081,Master Avançado,SP Interior,Especialista,6590,2023-12-11
5082,Implant Excelência,SP Interior,Popular,26011,2023-05-24
5083,Instituto Center,Norte/Nordeste,Popular,17600,2023-07-08
5084,Centro Care,Centro-Oeste,Premium,38801,2023-12-31
5085,Instituto Premium,Norte/Nordeste,Especialista,9005,2024-09-19
5086,Oral Plus,Centro-Oeste,Premium,5010,2024-05-24
5087,Centro Especializado,Sudeste,Premium,27370,2024-01-15
5088,Odonto Prime,Centro-Oeste,Popular,12954,2023-04-20
5089,Centro VIP,Norte/Nordeste,Popular,6921,2024-03-05
5090,Oral Center,Centro-Oeste,Premium,29198,2023-06-09
5091,Odonto Center,Sul,Premium,16282,2023-12-31
5092,Clínica Center,Norte/Nordeste,Especialista,15983,2023-11-23
5093,Master Center,Centro-Oeste,Premium,22591,2024-11-27
5094,Implant Center,Sudeste,Especialista,8830,2024-02-20
5095,Implant Plus,Centro-Oeste,Popular,32177,2023-04-01
5096,Prime Plus,SP Interior,Popular,12713,2023-10-29
5097,Master Excelência,SP Capital,Premium,6198,2024-03-04
5098,Oral VIP,Norte/Nordeste,Especialista,39170,2024-10-21
5099,Oral Premium,SP Capital,Popular,6434,2024-07-18
5100,Dental Center,SP Interior,Premium,15312,2024-07-17
5101,Oral Especializado,Sudeste,Premium,27302,2023-05-08
5102,Instituto Center,SP Capital,Especialista,11071,2023-08-23
5103,Dental Center,SP Capital,Premium,21969,2023-12-13
5104,Dental Center,SP Interior,Premium,18484,2023-12-10
5105,Instituto Premium,Sudeste,Premium,38501,2023-05-01
