id_oportunidade,cliente_id,vendedor_id,data_abertura,valor_estimado,linha,status
1,5141,1022,2025-06-06,13445,Strong,Perdido
2,5195,1007,2025-01-14,3825,Epikut,Fechado ganho
3,5350,2028,2025-03-06,20548,Unitite,Proposta
4,5004,1009,2025-04-22,11207,Unitite,Perdido
5,5372,1052,2025-05-17,25348,Tryon,Fechado ganho
6,5397,1015,2025-03-15,12809,Strong,Negociação
7,5474,1024,2025-02-17,10394,Tryon,Fechado ganho
8,5225,1051,2025-06-06,27222,Epikut,Perdido
9,5046,2007,2025-03-25,5295,Strong,Perdido
10,5175,1030,2025-01-14,3074,Epikut,Proposta
11,5411,2003,2025-02-04,25419,Epikut,Fechado ganho
12,5197,1011,2025-05-04,2180,Unitite,Negociação
13,5153,2032,2025-02-09,28089,Epikut,Fechado ganho
14,5339,1024,2025-06-07,3189,Tryon,Negociação
15,5425,1018,2025-06-27,23751,Strong,Negociação
16,5331,2006,2025-05-06,28509,Strong,Perdido
17,5009,1003,2025-06-27,28870,Epikut,Perdido
18,5244,1008,2025-05-29,25748,Tryon,Negociação
19,5095,2031,2025-06-04,7214,Tryon,Perdido
20,5295,1053,2025-05-07,9489,Tryon,Perdido
21,5161,1042,2025-03-29,17997,Epikut,Fechado ganho
22,5019,1029,2025-02-22,3550,Tryon,Fechado ganho
23,5266,1050,2025-06-28,26684,Epikut,Negociação
24,5200,1004,2025-04-08,15322,Tryon,Proposta
25,5407,1023,2025-05-07,6469,Tryon,Proposta
26,5264,2004,2025-03-16,7586,Tryon,Fechado ganho
27,5228,1013,2025-04-01,8058,Epikut,Fechado ganho
28,5184,2031,2025-02-07,6954,Unitite,Proposta
29,5015,1017,2025-03-14,20774,Tryon,Fechado ganho
30,5116,1017,2025-06-17,14652,Strong,Negociação
31,5078,2025,2025-01-24,23524,Strong,Perdido
32,5420,2031,2025-02-01,14978,Unitite,Proposta
33,5409,1020,2025-05-21,20444,Tryon,Proposta
34,5012,1050,2025-01-22,9248,Tryon,Perdido
35,5473,2021,2025-03-18,15043,Epikut,Fechado ganho
36,5028,2038,2025-02-13,21143,Strong,Proposta
37,5299,1027,2025-02-11,16241,Strong,Fechado ganho
38,5338,1048,2025-06-20,17050,Strong,Proposta
39,5472,1004,2025-03-10,16859,Strong,Proposta
40,5233,2036,2025-03-05,20146,Epikut,Perdido
41,5274,1046,2025-04-02,16054,Epikut,Negociação
42,5229,1059,2025-03-07,15955,Tryon,Fechado ganho
43,5401,1012,2025-05-05,7050,Strong,Proposta
44,5388,2032,2025-01-14,8969,Epikut,Fechado ganho
45,5260,1017,2025-02-28,2183,Tryon,Fechado ganho
46,5080,2012,2025-05-19,18000,Strong,Negociação
47,5409,1044,2025-02-19,10040,Tryon,Proposta
48,5144,2004,2025-03-10,18638,Epikut,Perdido
49,5023,1017,2025-02-20,11966,Unitite,Negociação
50,5233,1037,2025-06-13,27992,Unitite,Negociação
51,5065,1033,2025-04-20,11853,Epikut,Negociação
52,5034,1047,2025-04-01,10863,Tryon,Proposta
53,5098,1046,2025-01-16,12088,Tryon,Proposta
54,5150,2012,2025-06-13,7757,Unitite,Fechado ganho
55,5065,1044,2025-05-31,9712,Tryon,Negociação
56,5312,1005,2025-05-03,11519,Unitite,Perdido
57,5025,1049,2025-05-11,29710,Strong,Negociação
58,5492,1053,2025-04-10,26096,Epikut,Fechado ganho
59,5437,1051,2025-05-13,21733,Tryon,Perdido
60,5022,1014,2025-02-07,17397,Epikut,Negociação
61,5359,2016,2025-06-27,29181,Tryon,Perdido
62,5439,1004,2025-06-01,17973,Epikut,Perdido
63,5431,2030,2025-04-07,16784,Epikut,Fechado ganho
64,5303,2004,2025-06-15,15084,Unitite,Perdido
65,5439,1041,2025-05-30,4409,Strong,Perdido
66,5030,1028,2025-05-08,26684,Epikut,Perdido
67,5084,1052,2025-03-29,19657,Epikut,Perdido
68,5201,1043,2025-05-31,23168,Strong,Perdido
69,5313,1037,2025-05-01,7233,Epikut,Proposta
70,5266,2039,2025-06-26,26677,Strong,Proposta
71,5197,1036,2025-04-05,19462,Tryon,Negociação
72,5442,1031,2025-02-13,6802,Tryon,Fechado ganho
73,5117,2035,2025-04-20,14800,Unitite,Negociação
74,5223,2011,2025-06-03,6221,Epikut,Fechado ganho
75,5215,1043,2025-04-10,16721,Strong,Perdido
76,5206,2024,2025-06-25,3031,Unitite,Proposta
77,5135,1055,2025-05-31,18315,Epikut,Fechado ganho
78,5147,1019,2025-04-20,2506,Unitite,Fechado ganho
79,5004,2007,2025-06-20,3260,Epikut,Fechado ganho
80,5258,1001,2025-05-14,28114,Epikut,Fechado ganho
81,5381,1032,2025-05-09,20711,Unitite,Proposta
82,5005,2034,2025-03-05,2007,Unitite,Perdido
83,5033,1049,2025-01-15,6030,Strong,Proposta
84,5246,1002,2025-03-31,18098,Tryon,Proposta
85,5205,2021,2025-06-10,24544,Unitite,Proposta
86,5074,1004,2025-05-10,18492,Strong,Perdido
87,5486,2033,2025-01-31,24143,Strong,Negociação
88,5319,2013,2025-06-16,9215,Strong,Negociação
89,5095,1032,2025-01-03,25888,Tryon,Perdido
90,5430,2014,2025-01-08,13752,Strong,Fechado ganho
91,5134,1029,2025-05-28,27765,Unitite,Fechado ganho
92,5456,1040,2025-02-21,26129,Strong,Fechado ganho
93,5257,1029,2025-05-23,9344,Strong,Proposta
94,5184,1009,2025-06-05,17989,Epikut,Negociação
95,5413,1035,2025-01-01,27414,Tryon,Proposta
96,5479,2038,2025-03-08,7175,Epikut,Perdido
97,5457,1010,2025-02-25,16165,Tryon,Fechado ganho
98,5420,1030,2025-01-10,14638,Epikut,Fechado ganho
99,5013,1041,2025-01-15,4775,Tryon,Fechado ganho
100,5231,1003,2025-02-28,23941,Epikut,Fechado ganho
101,5406,1046,2025-01-10,27902,Tryon,Negociação
102,5109,2030,2025-06-28,11347,Strong,Negociação
103,5234,1034,2025-02-12,2089,Unitite,Negociação
104,5088,2012,2025-04-28,12411,Epikut,Perdido
105,5217,2032,2025-01-20,18918,Epikut,Proposta
106,5160,1015,2025-02-22,15320,Strong,Fechado ganho
107,5276,2016,2025-02-19,18336,Unitite,Fechado ganho
108,5231,1048,2025-02-13,23615,Unitite,Fechado ganho
109,5279,2032,2025-01-23,28187,Epikut,Negociação
110,5478,1023,2025-03-05,26265,Unitite,Perdido
111,5154,1057,2025-01-29,27487,Tryon,Proposta
112,5402,1004,2025-02-25,29578,Unitite,Proposta
113,5305,1005,2025-06-18,4086,Tryon,Proposta
114,5332,2035,2025-06-19,12799,Epikut,Perdido
115,5329,2037,2025-06-01,7597,Epikut,Fechado ganho
116,5373,1015,2025-05-26,28983,Epikut,Proposta
117,5190,1023,2025-04-18,11482,Unitite,Proposta
118,5124,2002,2025-02-08,26949,Strong,Proposta
119,5404,1006,2025-05-28,17851,Tryon,Proposta
120,5073,1032,2025-03-28,20738,Tryon,Proposta
121,5390,1060,2025-06-08,25279,Strong,Proposta
122,5463,2023,2025-01-15,21907,Tryon,Perdido
123,5489,2020,2025-04-11,18910,Tryon,Proposta
124,5116,2015,2025-02-23,28387,Strong,Negociação
125,5050,1006,2025-04-26,17109,Tryon,Perdido
126,5295,1052,2025-05-13,17910,Epikut,Proposta
127,5056,1031,2025-01-29,21683,Strong,Negociação
128,5111,1010,2025-05-22,9271,Epikut,Fechado ganho
129,5287,1006,2025-04-28,3005,Tryon,Fechado ganho
130,5265,1008,2025-06-26,6556,Strong,Fechado ganho
131,5160,1040,2025-02-27,27653,Unitite,Perdido
132,5394,1060,2025-03-10,21111,Epikut,Perdido
133,5365,2016,2025-04-15,13971,Tryon,Proposta
134,5409,2015,2025-05-02,10274,Epikut,Fechado ganho
135,5469,2034,2025-03-06,15596,Tryon,Proposta
136,5017,2004,2025-05-23,21668,Unitite,Negociação
137,5211,2031,2025-04-05,22369,Epikut,Perdido
138,5234,2033,2025-02-05,26577,Strong,Negociação
139,5092,2011,2025-06-13,6874,Epikut,Negociação
140,5049,2038,2025-01-13,5721,Epikut,Fechado ganho
141,5214,2002,2025-05-14,9282,Epikut,Negociação
142,5119,1038,2025-05-06,21669,Epikut,Proposta
143,5458,1018,2025-01-24,9500,Epikut,Proposta
144,5041,1057,2025-06-23,25700,Tryon,Negociação
145,5297,1022,2025-03-17,16590,Epikut,Negociação
146,5401,2008,2025-02-24,9703,Tryon,Fechado ganho
147,5337,2005,2025-03-07,27266,Strong,Proposta
148,5091,1023,2025-02-03,24854,Strong,Proposta
149,5425,2024,2025-02-01,26239,Epikut,Fechado ganho
150,5374,2016,2025-04-23,17998,Tryon,Proposta
151,5004,1034,2025-06-22,8243,Unitite,Proposta
152,5333,1027,2025-03-30,25184,Unitite,Proposta
153,5498,1022,2025-05-14,4851,Unitite,Perdido
154,5283,2003,2025-03-27,25534,Tryon,Proposta
155,5227,2012,2025-01-10,24074,Unitite,Fechado ganho
156,5371,2002,2025-02-04,24924,Epikut,Fechado ganho
157,5485,1041,2025-02-25,17074,Strong,Negociação
158,5152,1047,2025-01-18,5428,Epikut,Perdido
159,5303,2016,2025-01-14,14252,Tryon,Fechado ganho
160,5249,1055,2025-04-05,6590,Unitite,Perdido
161,5095,2007,2025-05-22,15352,Tryon,Fechado ganho
162,5365,1010,2025-02-07,23470,Epikut,Perdido
163,5135,1054,2025-05-10,12168,Tryon,Negociação
164,5174,2025,2025-05-21,15614,Epikut,Negociação
165,5238,1035,2025-04-08,23739,Unitite,Negociação
166,5021,1052,2025-02-03,14759,Unitite,Negociação
167,5378,2005,2025-03-17,12059,Unitite,Perdido
168,5031,1029,2025-04-30,13016,Unitite,Negociação
169,5010,1012,2025-02-08,15082,Strong,Negociação
170,5097,1001,2025-02-06,12281,Strong,Proposta
171,5494,2018,2025-06-17,26102,Unitite,Perdido
172,5119,2021,2025-01-05,25078,Unitite,Negociação
173,5233,2026,2025-02-25,27458,Epikut,Perdido
174,5004,1043,2025-04-22,17936,Unitite,Fechado ganho
175,5268,1007,2025-05-08,4769,Strong,Fechado ganho
176,5269,2022,2025-03-22,3105,Epikut,Proposta
177,5229,1023,2025-03-30,28444,Unitite,Fechado ganho
178,5435,2032,2025-01-02,23962,Epikut,Proposta
179,5467,1042,2025-02-17,8171,Epikut,Negociação
180,5232,1021,2025-03-12,3735,Strong,Negociação
181,5445,2004,2025-06-10,23343,Unitite,Negociação
182,5112,1060,2025-02-02,11695,Strong,Negociação
183,5074,1024,2025-03-18,21781,Epikut,Negociação
184,5090,2006,2025-05-28,25349,Tryon,Proposta
185,5257,1045,2025-06-05,9063,Unitite,Fechado ganho
186,5172,1055,2025-06-13,17754,Tryon,Proposta
187,5061,1026,2025-01-05,4134,Unitite,Proposta
188,5442,1011,2025-04-07,25041,Strong,Negociação
189,5318,1057,2025-05-26,24855,Epikut,Negociação
190,5488,2040,2025-06-22,23473,Unitite,Perdido
191,5497,2009,2025-05-23,24837,Tryon,Perdido
192,5148,1059,2025-02-06,24726,Tryon,Negociação
193,5247,1020,2025-04-18,11039,Strong,Perdido
194,5463,2008,2025-02-07,25974,Tryon,Fechado ganho
195,5368,1055,2025-03-28,25108,Strong,Proposta
196,5286,1032,2025-05-10,12938,Epikut,Negociação
197,5043,1040,2025-02-02,15693,Strong,Perdido
