id_visita,data,cliente_id,vendedor_id,tipo_visita,objetivo,status
1,2025-04-27,5083,1005,Online,Prospecção,Pendente
2,2025-05-01,5482,1056,Online,Pós-venda,Pendente
3,2025-03-23,5053,2026,Telefone,Negociação,Realizada
4,2025-05-19,5421,2034,Telefone,Pós-venda,Pendente
5,2025-03-11,5182,2007,Telefone,Negociação,Pendente
6,2025-05-01,5358,1024,Presencial,Negociação,Realizada
7,2025-01-20,5290,2019,Telefone,Pós-venda,Pendente
8,2025-03-03,5441,2031,Presencial,Pós-venda,Realizada
9,2025-02-03,5017,2019,Online,Prospecção,Realizada
10,2025-05-04,5056,1051,Telefone,Prospecção,Pendente
11,2025-02-18,5111,1041,Presencial,Pós-venda,Realizada
12,2025-06-20,5012,1021,Online,Pós-venda,Realizada
13,2025-05-02,5339,1025,Presencial,Negociação,Pendente
14,2025-05-23,5441,1029,Telefone,Prospecção,Pendente
15,2025-04-06,5122,1050,Online,Pós-venda,Realizada
16,2025-03-02,5064,1060,Presencial,Prospecção,Pendente
17,2025-03-25,5457,1046,Online,Prospecção,Pendente
18,2025-02-17,5367,1052,Telefone,Pós-venda,Pendente
19,2025-01-12,5098,2028,Telefone,Negociação,Pendente
20,2025-04-01,5438,2002,Telefone,Negociação,Realizada
21,2025-02-17,5376,1015,Telefone,Pós-venda,Pendente
22,2025-05-25,5176,1038,Telefone,Negociação,Pendente
23,2025-04-11,5436,1036,Online,Prospecção,Pendente
24,2025-02-05,5005,2022,Telefone,Negociação,Realizada
25,2025-01-07,5412,1008,Online,Negociação,Realizada
26,2025-01-19,5321,1054,Telefone,Pós-venda,Realizada
27,2025-05-19,5223,1026,Telefone,Pós-venda,Pendente
28,2025-02-07,5491,2038,Presencial,Prospecção,Realizada
29,2025-03-13,5142,1028,Telefone,Pós-venda,Pendente
30,2025-04-02,5495,2039,Telefone,Pós-venda,Pendente
31,2025-03-30,5049,2040,Online,Negociação,Realizada
32,2025-01-10,5016,2007,Telefone,Negociação,Realizada
33,2025-01-27,5490,1039,Online,Negociação,Pendente
34,2025-05-03,5276,2016,Online,Prospecção,Realizada
35,2025-06-30,5277,1060,Telefone,Pós-venda,Realizada
36,2025-05-26,5388,1036,Telefone,Negociação,Pendente
37,2025-02-20,5215,1030,Presencial,Negociação,Pendente
38,2025-01-24,5234,1023,Telefone,Negociação,Pendente
39,2025-01-24,5020,1051,Telefone,Negociação,Pendente
40,2025-03-10,5286,1009,Presencial,Negociação,Realizada
41,2025-03-05,5184,1024,Presencial,Pós-venda,Realizada
42,2025-03-08,5447,1038,Telefone,Prospecção,Pendente
43,2025-03-12,5076,1011,Online,Pós-venda,Realizada
44,2025-05-23,5299,1013,Online,Negociação,Pendente
45,2025-03-30,5155,2039,Presencial,Negociação,Pendente
46,2025-04-16,5133,1055,Telefone,Negociação,Pendente
47,2025-01-03,5264,1035,Telefone,Negociação,Realizada
48,2025-01-29,5055,2036,Presencial,Negociação,Pendente
49,2025-06-05,5162,2011,Presencial,Negociação,Pendente
50,2025-02-20,5078,2029,Presencial,Prospecção,Pendente
51,2025-06-03,5055,2006,Online,Prospecção,Pendente
52,2025-01-15,5012,2016,Telefone,Negociação,Pendente
53,2025-02-15,5418,2019,Telefone,Pós-venda,Realizada
54,2025-06-06,5275,1019,Online,Negociação,Pendente
55,2025-06-13,5312,2001,Presencial,Prospecção,Pendente
56,2025-03-14,5307,1027,Telefone,Negociação,Pendente
57,2025-06-22,5410,1001,Online,Pós-venda,Realizada
