id_venda,data,cliente_id,vendedor_id,produto_id,quantidade,valor_bruto,desconto,valor_liquido
1,2025-02-27,5344,1027,4,25,5250,262.5,4987.5
2,2025-02-22,5183,1004,1,16,8320,416.0,7904.0
3,2025-02-18,5388,2014,1,5,2600,0.0,2600.0
4,2025-06-29,5326,2012,1,16,8320,0.0,8320.0
5,2025-03-30,5172,2004,1,10,5200,260.0,4940.0
6,2025-04-20,5314,1004,1,11,5720,572.0,5148.0
7,2025-02-13,5483,2036,2,19,7980,0.0,7980.0
8,2025-03-01,5446,2016,3,18,5760,576.0,5184.0
9,2025-01-03,5237,1027,4,7,1470,0.0,1470.0
10,2025-02-08,5103,2005,4,25,5250,525.0,4725.0
11,2025-05-18,5294,2002,4,1,210,0.0,210.0
12,2025-06-25,5089,1047,4,22,4620,0.0,4620.0
13,2025-04-11,5072,1045,4,17,3570,0.0,3570.0
14,2025-04-07,5006,1052,1,8,4160,0.0,4160.0
15,2025-01-07,5307,2038,4,18,3780,0.0,3780.0
16,2025-03-07,5453,1059,2,13,5460,546.0,4914.0
17,2025-02-10,5095,1049,2,18,7560,0.0,7560.0
18,2025-03-05,5173,1022,3,18,5760,0.0,5760.0
19,2025-04-26,5276,2011,3,4,1280,128.0,1152.0
20,2025-04-03,5129,1028,4,3,630,31.5,598.5
21,2025-02-05,5027,1039,1,21,10920,0.0,10920.0
22,2025-01-20,5484,1038,3,25,8000,400.0,7600.0
23,2025-03-10,5447,1024,1,14,7280,0.0,7280.0
24,2025-04-08,5325,2030,2,9,3780,189.0,3591.0
25,2025-02-21,5435,1042,1,19,9880,988.0,8892.0
26,2025-06-15,5276,2035,4,1,210,0.0,210.0
27,2025-06-28,5154,1023,2,21,8820,882.0,7938.0
28,2025-03-08,5106,1032,3,9,2880,144.0,2736.0
29,2025-01-18,5015,2027,2,22,9240,0.0,9240.0
30,2025-03-10,5068,1036,2,13,5460,546.0,4914.0
31,2025-02-13,5082,2032,2,25,10500,0.0,10500.0
32,2025-06-23,5354,2008,2,18,7560,0.0,7560.0
33,2025-04-19,5191,2006,4,23,4830,0.0,4830.0
34,2025-06-07,5268,2014,4,5,1050,0.0,1050.0
35,2025-03-11,5207,1015,2,20,8400,0.0,8400.0
36,2025-03-22,5239,2010,3,18,5760,0.0,5760.0
37,2025-04-15,5409,1045,2,20,8400,0.0,8400.0
38,2025-03-10,5066,2040,2,18,7560,0.0,7560.0
39,2025-01-06,5097,1037,2,21,8820,882.0,7938.0
40,2025-01-02,5012,1034,3,20,6400,0.0,6400.0
41,2025-02-22,5234,2010,3,17,5440,272.0,5168.0
42,2025-06-12,5443,2038,4,8,1680,0.0,1680.0
43,2025-01-18,5043,1060,3,11,3520,176.0,3344.0
44,2025-06-03,5233,1007,1,21,10920,0.0,10920.0
45,2025-05-12,5319,2017,4,18,3780,378.0,3402.0
46,2025-05-18,5397,1011,1,25,13000,650.0,12350.0
47,2025-02-17,5432,2025,1,15,7800,390.0,7410.0
48,2025-05-04,5440,1035,2,5,2100,0.0,2100.0
49,2025-01-22,5433,1015,4,23,4830,0.0,4830.0
50,2025-05-11,5438,1032,1,12,6240,0.0,6240.0
51,2025-05-17,5174,1054,2,3,1260,0.0,1260.0
52,2025-04-16,5174,2005,4,19,3990,0.0,3990.0
53,2025-04-12,5196,1014,1,5,2600,0.0,2600.0
54,2025-03-14,5124,1009,1,19,9880,0.0,9880.0
55,2025-01-30,5306,1036,2,23,9660,0.0,9660.0
56,2025-02-27,5471,2031,4,21,4410,441.0,3969.0
57,2025-03-21,5091,1056,1,2,1040,0.0,1040.0
58,2025-02-24,5360,2010,1,11,5720,0.0,5720.0
59,2025-05-04,5360,2039,4,15,3150,0.0,3150.0
60,2025-06-27,5202,2009,1,24,12480,0.0,12480.0
61,2025-01-05,5271,1026,2,11,4620,0.0,4620.0
62,2025-05-01,5475,1008,2,4,1680,0.0,1680.0
63,2025-06-18,5332,1004,1,10,5200,0.0,5200.0
64,2025-03-08,5420,2005,2,9,3780,0.0,3780.0
65,2025-05-26,5277,2021,1,18,9360,0.0,9360.0
66,2025-01-29,5376,1021,3,19,6080,0.0,6080.0
67,2025-03-12,5464,1040,3,7,2240,224.0,2016.0
68,2025-04-21,5293,1002,1,12,6240,0.0,6240.0
69,2025-02-19,5370,1009,4,4,840,42.0,798.0
70,2025-03-27,5330,2038,2,16,6720,0.0,6720.0
71,2025-05-27,5109,1024,2,3,1260,0.0,1260.0
72,2025-04-24,5063,1022,3,5,1600,0.0,1600.0
73,2025-05-13,5470,2003,3,2,640,32.0,608.0
74,2025-02-02,5331,1013,4,23,4830,483.0,4347.0
75,2025-06-03,5055,1042,4,10,2100,0.0,2100.0
76,2025-05-04,5164,1030,3,25,8000,400.0,7600.0
77,2025-04-12,5058,1049,4,11,2310,115.5,2194.5
78,2025-04-12,5254,1041,2,15,6300,315.0,5985.0
79,2025-06-27,5435,1044,2,11,4620,0.0,4620.0
80,2025-06-10,5226,1030,1,25,13000,0.0,13000.0
81,2025-02-08,5332,1060,1,9,4680,0.0,4680.0
82,2025-05-20,5494,2038,2,4,1680,0.0,1680.0
83,2025-05-16,5304,1016,2,16,6720,672.0,6048.0
84,2025-02-22,5232,1007,3,5,1600,0.0,1600.0
85,2025-04-22,5221,1015,1,2,1040,104.0,936.0
86,2025-01-11,5191,1019,2,4,1680,0.0,1680.0
87,2025-03-31,5433,1020,2,12,5040,0.0,5040.0
88,2025-01-03,5075,1031,3,9,2880,0.0,2880.0
89,2025-01-18,5499,2018,4,2,420,0.0,420.0
90,2025-02-26,5089,1004,2,4,1680,168.0,1512.0
91,2025-05-01,5197,2033,1,3,1560,0.0,1560.0
92,2025-06-11,5016,1039,2,24,10080,0.0,10080.0
93,2025-05-19,5474,1011,1,3,1560,156.0,1404.0
94,2025-01-30,5145,2013,4,10,2100,0.0,2100.0
95,2025-02-16,5336,1039,1,14,7280,0.0,7280.0
96,2025-02-26,5426,2024,2,23,9660,0.0,9660.0
97,2025-01-03,5352,2021,2,24,10080,504.0,9576.0
98,2025-02-03,5140,1056,1,2,1040,52.0,988.0
99,2025-05-07,5213,2017,4,14,2940,294.0,2646.0
100,2025-02-23,5312,2002,1,12,6240,0.0,6240.0
101,2025-04-16,5019,1022,1,15,7800,0.0,7800.0
102,2025-02-21,5066,1034,3,24,7680,768.0,6912.0
103,2025-02-20,5401,1025,3,11,3520,0.0,3520.0
104,2025-03-06,5378,1006,1,12,6240,0.0,6240.0
105,2025-01-16,5264,2021,3,17,5440,544.0,4896.0
106,2025-06-10,5042,2021,4,10,2100,0.0,2100.0
107,2025-05-04,5480,2022,2,12,5040,504.0,4536.0
108,2025-03-06,5251,2013,2,11,4620,0.0,4620.0
109,2025-02-22,5012,1006,2,2,840,84.0,756.0
110,2025-06-07,5485,1004,1,23,11960,1196.0,10764.0
111,2025-01-30,5308,1048,1,16,8320,0.0,8320.0
112,2025-02-05,5096,1051,1,10,5200,520.0,4680.0
113,2025-05-16,5373,2040,1,15,7800,390.0,7410.0
114,2025-04-24,5313,2031,4,6,1260,0.0,1260.0
115,2025-02-04,5448,1050,4,21,4410,0.0,4410.0
116,2025-05-11,5135,2016,1,4,2080,0.0,2080.0
117,2025-01-16,5130,1027,3,6,1920,96.0,1824.0
118,2025-02-26,5051,1027,4,16,3360,0.0,3360.0
119,2025-02-25,5175,2035,2,25,10500,1050.0,9450.0
120,2025-05-28,5296,1032,4,2,420,42.0,378.0
121,2025-03-25,5083,1036,1,10,5200,0.0,5200.0
122,2025-05-02,5256,1024,2,12,5040,0.0,5040.0
123,2025-05-23,5386,1020,4,18,3780,0.0,3780.0
124,2025-01-21,5116,2016,1,17,8840,884.0,7956.0
125,2025-03-26,5455,1017,4,3,630,0.0,630.0
126,2025-06-17,5202,1032,4,20,4200,0.0,4200.0
127,2025-06-20,5355,1030,4,18,3780,0.0,3780.0
128,2025-06-11,5451,2007,2,17,7140,357.0,6783.0
129,2025-03-28,5401,2040,1,16,8320,832.0,7488.0
130,2025-03-27,5332,2039,4,9,1890,0.0,1890.0
131,2025-06-30,5044,2018,1,10,5200,0.0,5200.0
132,2025-05-03,5248,2016,4,6,1260,126.0,1134.0
133,2025-01-06,5342,2001,2,10,4200,210.0,3990.0
134,2025-05-12,5144,1032,3,2,640,0.0,640.0
135,2025-05-03,5450,2028,3,10,3200,0.0,3200.0
136,2025-03-07,5083,2017,4,12,2520,252.0,2268.0
137,2025-05-13,5188,1033,4,22,4620,0.0,4620.0
138,2025-05-08,5151,1014,3,7,2240,0.0,2240.0
139,2025-01-20,5329,1059,4,15,3150,0.0,3150.0
140,2025-03-19,5113,1033,3,4,1280,0.0,1280.0
